timestamp,action_type,parameter
1775934559.6664338,SYSTEM_START,0
1775934570.9274938,TURN_RIGHT,15
1775934575.1806717,FORWARD,30
1775934579.4303138,FORWARD,30
1775934583.6556377,FORWARD,30
1775934587.8890874,FORWARD,30
1775934592.1318686,FORWARD,30
1775934596.3549235,FORWARD,30
1775934600.6043189,FORWARD,30
1775934604.842628,FORWARD,30
1775934609.0796962,FORWARD,30
1775934613.318971,FORWARD,30
1775934617.5595312,TURN_RIGHT,15
1775934621.789387,TURN_LEFT,15
1775934626.04105,FORWARD,30
1775934630.2990484,FORWARD,30
1775934634.5323172,FORWARD,30
1775934638.7642918,FORWARD,30
1775934643.0196338,TURN_RIGHT,15
1775934647.2794194,TURN_LEFT,15
1775934651.5369895,FORWARD,30
1775934655.7714462,FORWARD,30
1775934660.018306,FORWARD,15
1775934664.252384,FORWARD,15
1775934668.5027618,FORWARD,15
1775934672.7425394,GRAB,0
1775934689.2368758,TURN_LEFT,15
1775934693.7484329,TURN_RIGHT,15
1775934698.0002792,TURN_LEFT,15
1775934702.7829285,FORWARD,30
1775934707.006744,FORWARD,15
1775934711.2333825,FORWARD,15
1775934715.463528,GRAB,0
1775934731.9757533,GRAB,0
1775934748.4960258,GRAB,0
1775934765.0224688,FORWARD,15
1775934769.258412,FORWARD,15
1775934774.5147529,BACKWARD,15
1775934778.739011,GRAB,0
1775934795.013872,SYSTEM_STOP,0
