timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777316118.3257756,1.43,0.02,-0.01,0.005,0.0,9.803,0.0,0.0,0.0
1777316118.3357656,1.43,0.03,-0.01,0.01,-0.002,9.804,-0.01,-0.01,0.0
1777316118.3458865,1.43,0.03,-0.01,0.007,-0.004,9.803,-0.01,-0.01,0.0
1777316118.3558211,1.43,0.03,-0.01,0.005,-0.008,9.804,0.0,-0.01,-0.01
1777316118.3657508,1.43,0.03,-0.01,0.001,-0.007,9.805,-0.01,-0.01,-0.01
1777316118.375722,1.43,0.03,-0.01,0.0,-0.001,9.803,-0.01,-0.01,0.0
1777316118.3857625,1.43,0.03,-0.01,0.0,-0.001,9.805,-0.01,0.0,0.0
1777316118.3957286,1.43,0.03,-0.01,0.001,-0.005,9.805,-0.01,0.0,0.0
1777316118.405732,1.43,0.03,-0.01,0.004,-0.004,9.806,-0.01,-0.01,0.0
1777316118.4157412,1.43,0.03,-0.01,0.007,-0.001,9.808,-0.01,0.0,-0.01
1777316118.4257362,1.43,0.02,-0.01,-0.026,-0.036,9.808,0.0,-0.01,0.0
1777316118.4357316,1.43,0.02,-0.02,0.005,-0.014,9.804,-0.01,0.0,-0.01
1777316118.4457424,1.43,0.01,-0.03,-0.024,0.0,9.805,-0.01,0.0,0.0
1777316118.4557574,1.43,0.01,-0.03,0.016,0.044,9.797,-0.01,0.0,0.0
1777316118.4657416,1.43,0.01,-0.01,0.022,0.054,9.794,-0.01,0.0,0.0
1777316118.4757497,1.43,0.02,-0.01,-0.002,0.029,9.798,0.0,-0.01,0.0
1777316118.4857724,1.43,0.01,-0.01,-0.013,-0.001,9.8,0.0,-0.01,-0.01
1777316118.4957602,1.43,0.01,-0.01,-0.028,-0.016,9.803,0.0,-0.01,-0.01
1777316118.5057497,1.43,0.01,-0.02,-0.041,-0.012,9.796,-0.01,0.0,-0.01
1777316118.515755,1.43,0.02,-0.03,-0.026,-0.008,9.787,-0.01,0.0,-0.01
1777316118.5257764,1.43,0.01,-0.02,0.086,0.115,9.755,-0.01,-0.01,-0.01
1777316118.5357256,1.43,0.06,0.04,0.05,0.189,9.741,0.0,-0.01,0.0
1777316118.5457509,1.43,0.04,0.08,-0.03,-0.077,9.759,0.02,-0.02,0.0
1777316118.5557485,1.43,0.05,0.04,-0.049,-0.17,9.772,0.02,0.0,-0.01
1777316118.5657644,1.43,0.03,-0.01,-0.061,-0.232,9.775,-0.01,-0.01,-0.01
1777316118.5757718,1.43,0.02,-0.04,-0.073,-0.093,9.779,-0.02,0.0,0.0
1777316118.5857065,1.43,0.0,-0.04,-0.007,0.024,9.743,-0.02,0.0,0.0
1777316118.5958197,1.43,0.02,-0.03,0.028,0.077,9.748,-0.01,0.0,0.0
1777316118.6057308,1.43,0.02,-0.01,0.046,0.096,9.756,0.0,-0.01,-0.01
1777316118.6157427,1.43,0.03,0.01,0.011,0.06,9.77,0.0,-0.01,0.0
1777316118.6257336,1.43,0.03,0.02,0.013,-0.008,9.78,0.01,-0.01,-0.01
1777316118.6357884,1.43,0.04,0.01,-0.014,-0.024,9.785,0.0,-0.01,-0.01
1777316118.6457863,1.43,0.03,0.01,-0.043,-0.071,9.791,0.0,-0.01,0.0
1777316118.655777,1.43,0.03,-0.01,0.023,-0.038,9.796,-0.01,0.0,-0.01
1777316118.6657517,1.43,0.03,-0.02,0.0,-0.005,9.793,-0.01,0.0,-0.01
1777316118.6757197,1.43,0.03,-0.01,0.05,0.007,9.796,-0.01,0.0,0.0
1777316118.6857631,1.43,0.03,-0.02,0.04,0.081,9.78,-0.01,0.0,-0.01
1777316118.695747,1.43,-0.01,-0.04,-0.032,-0.293,9.784,-0.01,-0.01,0.0
1777316118.7058375,1.44,-0.03,-0.14,-0.263,-0.302,9.763,-0.02,0.01,-0.01
1777316118.715743,1.45,-0.19,-0.3,-0.395,-0.774,9.775,-0.04,0.02,-0.02
1777316118.725771,1.45,-0.46,-0.59,-0.538,-0.519,9.786,-0.07,0.06,-0.01
1777316118.7357433,1.45,-0.9,-0.83,-1.16,-0.323,9.701,-0.14,0.14,0.0
1777316118.745784,1.53,-1.54,-0.92,-1.402,0.716,9.639,-0.15,0.2,-0.02
1777316118.7557156,1.69,-2.5,-0.76,-1.842,0.946,9.691,-0.08,0.33,-0.06
1777316118.7657554,1.86,-3.84,-0.75,-1.578,0.435,9.737,0.02,0.52,-0.1
1777316118.775761,2.01,-5.35,-0.76,-0.77,1.392,9.727,0.0,0.71,-0.09
1777316118.7849042,2.26,-6.72,-0.57,0.259,1.027,9.64,-0.02,0.85,-0.09
1777316118.7957635,2.53,-7.89,-0.43,0.465,0.988,9.727,0.05,0.79,-0.14
1777316118.805701,2.81,-8.93,-0.37,1.624,0.293,9.211,0.06,0.71,-0.15
1777316118.8156955,2.97,-9.8,-0.31,2.279,0.438,9.272,0.07,0.6,-0.12
1777316118.8249364,3.04,-10.52,-0.23,3.367,0.054,9.409,0.05,0.57,-0.06
1777316118.8348634,3.01,-11.07,-0.18,4.104,0.042,9.526,0.04,0.55,-0.02
1777316118.8457391,2.98,-11.47,-0.08,4.794,0.219,9.664,0.03,0.45,0.02
1777316118.8557322,2.95,-11.77,0.02,5.3,-0.022,9.763,0.04,0.4,0.02
1777316118.865757,2.9,-11.97,-0.02,5.547,-0.295,9.838,0.03,0.34,0.03
1777316118.8757327,2.84,-12.03,-0.05,6.247,-0.319,9.889,0.0,0.31,0.03
1777316118.8857963,2.77,-11.93,-0.1,6.44,-0.032,9.921,-0.02,0.24,0.02
1777316118.8957927,2.73,-11.76,-0.09,6.518,0.156,9.942,-0.04,0.17,0.03
1777316118.904811,2.72,-11.51,-0.05,6.504,0.297,9.953,-0.02,0.11,0.01
1777316118.9157023,2.71,-11.17,-0.03,6.413,0.292,9.955,0.0,0.06,0.0
1777316118.925749,2.72,-10.75,-0.01,6.232,0.075,9.953,0.0,0.0,0.0
1777316118.9356866,2.72,-10.31,-0.07,5.837,-0.152,9.945,0.0,-0.05,-0.01
1777316118.9457016,2.72,-9.88,-0.17,5.37,-0.201,9.939,-0.02,-0.07,-0.01
1777316118.9556952,2.73,-9.51,-0.26,4.723,-0.072,9.932,-0.05,-0.08,-0.01
1777316118.9657054,2.72,-9.22,-0.33,4.352,-0.053,9.927,-0.05,-0.07,-0.02
1777316118.9757006,2.71,-8.91,-0.4,4.169,0.285,9.921,-0.05,-0.05,-0.01
1777316118.9848285,2.71,-8.63,-0.34,3.907,0.477,9.915,-0.04,-0.04,-0.01
1777316118.9957104,2.71,-8.41,-0.3,3.723,0.422,9.911,-0.01,-0.02,-0.01
1777316119.0048256,2.72,-8.21,-0.26,3.596,0.328,9.907,0.01,0.0,0.0
