timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1778774949.4181886,-68.1,-0.26,0.03,-0.042,0.007,9.806,0.0,0.0,0.0
1778774949.428159,-68.1,-0.26,0.03,-0.044,0.008,9.806,0.0,0.0,-0.01
1778774949.4381397,-68.1,-0.26,0.03,-0.043,0.014,9.808,-0.01,-0.01,0.0
1778774949.448144,-68.1,-0.26,0.03,-0.042,0.011,9.808,-0.01,-0.01,0.0
1778774949.458148,-68.1,-0.26,0.03,-0.046,0.01,9.808,0.0,0.0,-0.01
1778774949.4681575,-68.1,-0.26,0.03,-0.046,0.012,9.809,0.0,0.0,0.0
1778774949.478145,-68.1,-0.26,0.03,-0.044,0.011,9.809,-0.01,0.0,0.0
1778774949.488155,-68.1,-0.26,0.03,-0.042,0.012,9.809,-0.01,0.0,0.0
1778774949.4981441,-68.1,-0.26,0.03,-0.044,0.007,9.809,0.0,0.0,0.0
1778774949.5081525,-68.1,-0.26,0.03,-0.046,0.005,9.809,-0.01,0.0,0.0
1778774949.51813,-68.1,-0.26,0.03,-0.046,0.001,9.809,-0.01,0.0,0.0
1778774949.5281503,-68.1,-0.26,0.03,-0.043,0.002,9.809,-0.01,0.0,-0.01
1778774949.538905,-68.1,-0.26,0.03,-0.046,0.011,9.809,0.0,0.0,0.0
1778774949.5488632,-68.1,-0.26,0.03,-0.044,0.011,9.809,-0.01,0.0,0.0
1778774949.5589314,-68.1,-0.26,0.03,-0.051,0.008,9.809,-0.01,0.0,0.0
1778774949.5689147,-68.1,-0.26,0.03,-0.053,0.011,9.809,-0.01,0.0,-0.01
1778774949.5781732,-68.1,-0.26,0.03,-0.051,0.008,9.809,0.0,0.0,0.0
1778774949.5881608,-68.1,-0.26,0.03,-0.05,0.01,9.809,-0.01,0.0,0.0
1778774949.5981472,-68.1,-0.26,0.03,-0.048,0.007,9.809,-0.01,0.0,0.0
1778774949.6081202,-68.1,-0.26,0.03,-0.047,0.014,9.809,0.0,0.0,0.0
1778774949.6181595,-68.1,-0.26,0.03,-0.044,0.014,9.809,-0.01,-0.01,0.0
1778774949.6281414,-68.1,-0.26,0.03,-0.047,0.016,9.809,-0.01,0.0,0.0
1778774949.6381283,-68.1,-0.26,0.03,-0.047,0.013,9.809,-0.01,0.0,0.0
1778774949.6481142,-68.1,-0.26,0.03,-0.048,0.006,9.809,-0.01,0.0,0.0
1778774949.6581397,-68.1,-0.27,0.03,-0.041,0.004,9.809,-0.01,0.0,0.0
1778774949.6681287,-68.1,-0.27,0.03,-0.042,0.006,9.809,-0.01,0.0,-0.01
1778774949.6781414,-68.1,-0.27,0.03,-0.04,0.001,9.809,-0.01,0.0,-0.01
1778774949.6881196,-68.1,-0.27,0.03,-0.043,0.004,9.809,-0.01,0.0,0.0
1778774949.6981485,-68.1,-0.27,0.03,-0.042,0.008,9.809,-0.01,0.0,0.0
1778774949.7081406,-68.1,-0.27,0.03,-0.041,0.007,9.809,0.0,-0.01,0.0
1778774949.7172763,-68.1,-0.27,0.03,-0.04,0.005,9.809,-0.01,0.0,0.0
1778774949.7281318,-68.1,-0.27,0.03,-0.036,0.007,9.809,-0.01,0.0,0.0
1778774949.7381163,-68.1,-0.27,0.03,-0.036,0.007,9.809,-0.01,-0.01,0.0
1778774949.7481503,-68.1,-0.27,0.03,-0.04,0.007,9.809,0.0,0.0,0.0
1778774949.7581267,-68.1,-0.27,0.03,-0.044,0.01,9.809,0.0,-0.01,0.0
1778774949.7681267,-68.1,-0.27,0.03,-0.048,0.01,9.809,-0.01,0.0,-0.01
1778774949.7773066,-68.1,-0.27,0.03,-0.046,0.007,9.809,-0.01,0.0,0.0
