timestamp,action_type,parameter
1777733753.4335155,SYSTEM_START,0
1777733768.7743726,TURN_RIGHT,15
1777733773.013438,TURN_LEFT,15
1777733777.2596703,FORWARD,30
1777733781.4745674,FORWARD,30
1777733785.7304316,FORWARD,30
1777733789.9850235,FORWARD,30
1777733794.25207,FORWARD,30
1777733798.5130906,FORWARD,30
1777733802.7574782,FORWARD,30
1777733806.9870017,FORWARD,30
1777733811.2110405,FORWARD,30
1777733815.442765,FORWARD,30
1777733819.6633236,FORWARD,30
1777733823.917256,FORWARD,30
1777733840.1475163,SYSTEM_STOP,0
