timestamp,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1777318190.5634193,-15.49,0.31,0.69,0.091,0.09,9.797,0.0,0.0,0.0
1777318190.5731359,-15.48,0.29,0.7,0.11,0.089,9.772,0.0,0.0,0.0
1777318190.583245,-15.48,0.31,0.7,0.172,0.011,9.762,0.0,0.0,0.0
1777318190.5931547,-15.49,0.32,0.68,0.098,0.078,9.774,-0.01,-0.01,-0.01
1777318190.6030674,-15.49,0.32,0.68,0.08,0.128,9.736,-0.02,-0.01,0.0
1777318190.6130855,-15.49,0.32,0.69,0.096,0.126,9.72,-0.01,0.0,-0.01
1777318190.6230695,-15.49,0.33,0.69,0.055,0.101,9.744,0.0,-0.01,-0.01
1777318190.6334565,-15.48,0.3,0.69,-0.024,0.115,9.762,0.0,0.0,-0.01
1777318190.643954,-15.48,0.25,0.71,-0.069,0.156,9.689,0.0,0.01,-0.01
1777318190.6543598,-15.48,0.22,0.76,-0.041,0.141,9.585,0.01,0.02,-0.01
1777318190.6631973,-15.49,0.23,0.77,0.291,0.092,9.491,0.02,0.01,0.0
1777318190.6738217,-15.5,0.38,0.74,0.049,-0.157,9.578,0.0,-0.02,0.01
1777318190.6833403,-15.5,0.43,0.6,0.111,-0.078,9.639,-0.02,-0.05,0.0
1777318190.6933954,-15.49,0.54,0.56,0.242,0.067,9.569,-0.06,-0.04,-0.01
1777318190.7034605,-15.49,0.64,0.51,0.182,0.068,9.494,-0.03,-0.05,-0.01
1777318190.7138503,-15.48,0.67,0.49,0.073,0.165,9.454,-0.03,-0.05,-0.01
1777318190.7232075,-15.47,0.66,0.52,0.092,0.141,9.533,-0.02,-0.02,-0.01
1777318190.7330642,-15.49,0.66,0.52,0.16,0.069,9.597,0.01,0.01,-0.01
1777318190.743114,-15.5,0.7,0.51,0.152,-0.06,9.653,0.01,0.0,0.01
1777318190.7530375,-15.52,0.7,0.44,0.05,-0.065,9.695,-0.01,-0.02,0.01
1777318190.7630572,-15.53,0.68,0.42,0.056,0.251,9.682,-0.04,-0.01,0.0
1777318190.7730856,-15.54,0.66,0.5,-0.035,0.28,9.632,-0.02,0.0,0.0
1777318190.783069,-15.54,0.59,0.53,0.019,0.217,9.562,0.02,0.01,0.0
1777318190.7930245,-15.53,0.56,0.57,0.095,0.205,9.57,0.02,0.03,-0.01
1777318190.8031592,-15.52,0.55,0.57,0.073,0.14,9.634,0.01,0.02,-0.02
1777318190.8130689,-15.49,0.56,0.54,0.086,0.123,9.656,0.0,0.0,-0.01
1777318190.8230422,-15.47,0.6,0.49,0.083,0.114,9.659,-0.02,-0.02,-0.02
1777318190.8330388,-15.44,0.63,0.47,-0.063,0.243,9.678,-0.03,-0.03,-0.02
1777318190.843037,-15.42,0.62,0.48,-0.188,0.283,9.685,-0.02,-0.02,-0.02
1777318190.8530402,-15.41,0.57,0.49,-0.238,0.183,9.718,0.0,-0.01,-0.02
1777318190.8630443,-15.4,0.52,0.5,-0.189,0.164,9.743,0.01,0.01,-0.01
1777318190.8739069,-15.41,0.5,0.52,-0.099,0.135,9.761,0.0,0.02,-0.01
1777318190.883536,-15.42,0.51,0.52,-0.069,0.098,9.768,0.01,0.01,0.0
1777318190.8930643,-15.44,0.51,0.51,-0.09,0.126,9.72,0.0,-0.01,0.0
1777318190.903025,-15.44,0.52,0.52,-0.087,0.211,9.632,-0.02,-0.02,0.0
1777318190.913035,-15.44,0.52,0.53,-0.116,0.198,9.638,-0.01,-0.02,0.0
1777318190.922152,-15.44,0.52,0.53,-0.083,0.186,9.683,0.0,-0.01,0.0
1777318190.9321437,-15.44,0.52,0.53,-0.043,0.165,9.717,-0.01,0.0,-0.01
1777318190.9430463,-15.44,0.52,0.53,-0.005,0.143,9.741,0.0,-0.01,-0.01
1777318190.9521294,-15.43,0.53,0.54,0.007,0.151,9.76,0.0,-0.01,-0.01
1777318190.9630375,-15.43,0.53,0.54,0.002,0.131,9.738,0.0,-0.01,-0.01
1777318190.973116,-15.43,0.53,0.54,0.051,0.144,9.69,0.0,0.0,-0.01
1777318190.9821148,-15.43,0.53,0.55,0.089,0.103,9.693,0.0,0.0,0.0
1777318190.9930189,-15.44,0.53,0.54,0.11,0.093,9.723,0.0,0.0,0.0
1777318191.0030086,-15.44,0.55,0.54,0.101,0.09,9.745,-0.01,-0.01,0.0
1777318191.0130117,-15.45,0.54,0.53,0.067,0.099,9.763,-0.01,-0.01,0.0
1777318191.0221593,-15.46,0.53,0.54,0.047,0.132,9.775,-0.01,0.0,0.0
1777318191.0330203,-15.47,0.51,0.55,0.023,0.154,9.769,0.0,0.0,0.0
1777318191.0421584,-15.47,0.49,0.57,0.032,0.169,9.738,0.0,0.0,0.0
1777318191.0530248,-15.47,0.49,0.58,0.034,0.152,9.733,0.0,0.0,0.0
1777318191.0621836,-15.46,0.49,0.56,0.02,0.163,9.749,0.0,0.0,-0.01
1777318191.072194,-15.44,0.49,0.56,-0.016,0.183,9.764,-0.01,-0.01,-0.01
1777318191.0830135,-15.44,0.48,0.56,-0.068,0.169,9.776,-0.01,-0.01,-0.01
1777318191.0930161,-15.42,0.47,0.57,-0.063,0.171,9.786,-0.01,0.0,-0.01
1777318191.1021569,-15.42,0.45,0.57,-0.051,0.141,9.791,0.0,0.0,-0.01
1777318191.1121442,-15.42,0.45,0.57,-0.016,0.12,9.763,0.0,0.0,-0.01
1777318191.1221592,-15.42,0.46,0.57,0.007,0.116,9.744,0.0,-0.01,-0.01
1777318191.1321478,-15.42,0.46,0.57,0.0,0.095,9.749,-0.01,-0.01,0.0
1777318191.142168,-15.43,0.46,0.57,0.017,0.097,9.763,-0.01,-0.01,0.0
1777318191.152161,-15.44,0.46,0.57,0.016,0.084,9.774,-0.01,-0.01,0.0
1777318191.1621604,-15.47,0.46,0.57,0.051,0.123,9.785,0.0,-0.01,0.01
1777318191.1721609,-15.47,0.47,0.58,0.046,0.138,9.791,0.0,-0.01,0.01
1777318191.182161,-15.47,0.47,0.59,0.056,0.159,9.786,0.0,-0.01,0.0
1777318191.1922057,-15.47,0.47,0.59,0.061,0.166,9.769,0.0,0.0,0.0
1777318191.202308,-15.47,0.46,0.59,0.051,0.147,9.779,0.0,0.0,-0.01
1777318191.212117,-15.46,0.46,0.6,0.057,0.145,9.786,0.0,0.0,-0.01
1777318191.222164,-15.46,0.46,0.6,0.044,0.133,9.792,0.0,0.0,-0.01
1777318191.232145,-15.46,0.45,0.6,0.044,0.169,9.792,-0.01,0.0,-0.01
1777318191.242148,-15.45,0.45,0.61,0.023,0.168,9.797,0.0,0.0,-0.01
1777318191.2521365,-15.44,0.44,0.61,0.022,0.18,9.785,0.0,0.0,-0.01
1777318191.262145,-15.44,0.44,0.62,0.011,0.177,9.773,-0.01,0.0,-0.01
1777318191.272147,-15.44,0.43,0.61,-0.001,0.157,9.782,-0.01,-0.01,-0.01
1777318191.2821596,-15.44,0.42,0.61,0.004,0.15,9.787,-0.01,-0.01,-0.01
1777318191.2921603,-15.44,0.42,0.61,-0.008,0.117,9.792,-0.01,0.0,0.0
1777318191.302128,-15.44,0.42,0.61,0.005,0.123,9.785,-0.01,-0.01,0.0
1777318191.3121254,-15.44,0.42,0.61,0.016,0.116,9.786,-0.01,0.0,0.0
1777318191.3221488,-15.45,0.42,0.61,0.025,0.115,9.779,0.0,-0.01,0.0
1777318191.3321376,-15.45,0.42,0.61,0.035,0.098,9.764,0.0,-0.01,0.0
1777318191.342122,-15.46,0.42,0.61,0.037,0.079,9.776,0.0,-0.01,0.0
1777318191.3522375,-15.46,0.42,0.61,0.041,0.081,9.768,-0.01,-0.01,0.0
1777318191.3621433,-15.47,0.42,0.61,0.03,0.071,9.779,0.0,0.0,0.0
1777318191.3721275,-15.47,0.41,0.61,0.04,0.102,9.769,0.0,-0.01,0.0
1777318191.3821986,-15.47,0.42,0.61,0.036,0.127,9.775,0.0,0.0,0.0
1777318191.3921533,-15.47,0.41,0.62,0.031,0.163,9.781,0.0,-0.01,0.0
1777318191.4021423,-15.47,0.41,0.64,0.037,0.178,9.77,0.0,0.0,-0.01
1777318191.412124,-15.45,0.41,0.64,0.006,0.184,9.781,0.0,-0.01,-0.01
